"id","indicator","biomass","logbiomass","composition","x","y","t2.loc","t2.scale","t1.loc","t1.scale","d.pz","t2.pz"
"140",0,0,NA,0.00675675675675676,468000,1124000,3.69596431297669,2.37659838156701,2.28402424172827,4.98400322574486,1.70138992212396,1.77697294324282
"141",1,332.268354397902,5.80594293880012,0.00641025641025641,308000,1116000,5.05095748877195,2.11124898429413,1.7895574725128,4.36424403557644,1.14095721938909,0.829563565753219
"142",0,0,NA,0,316000,1116000,5.57404691550259,3.17965600775554,0.711774632936096,-16.2147758699623,-0.555394024427834,0.430934887613497
"143",1,3517.85589862561,8.16560696329473,0.0202702702702703,324000,1116000,5.14465451394905,6.07063234849843,2.3845186836751,6.30002010730353,0.824858589310387,0.759973213096937
"144",0,0,NA,0,332000,1116000,5.36637188148169,3.07893385782674,0.712240534442192,-16.2028786135739,-0.0354226412218503,0.592303009551796
"145",1,125.460285506853,4.83198925834633,0.00666666666666667,340000,1116000,5.45492355462647,1.69356883569384,0.271872017520103,4.78872490379612,-0.419761363010367,0.524044567715929
"146",0,0,NA,0,348000,1116000,5.35531044056789,3.07365947667725,0.707031055579796,-16.3363530289558,-0.188814761443291,0.600775128884113
"147",1,415.163615572616,6.0286726969247,0.0263157894736842,356000,1116000,5.18528209477579,2.30743087788347,0.326815759464877,5.97392477405674,0.262591883980454,0.729574300393894
"148",1,109.765627996563,4.69834743814192,0.0263157894736842,364000,1116000,5.64743978537641,2.06668076662967,1.34773194150463,5.89032315676156,-1.28287484417933,0.372784988203486
"149",1,168.326998074076,5.12590850469552,0.0333333333333333,372000,1116000,5.24996694700746,0.781591997159581,1.15168932055675,5.93383342325176,-0.390546103635376,0.680882087324161
"150",1,174.657996899307,5.16282975834835,0.0266666666666667,380000,1116000,5.40009921132525,1.08981121918787,1.04919522946004,5.82307462012579,-1.12515416707232,0.566397141272787
"151",1,405.106509996006,6.00415002017581,0.0135135135135135,388000,1116000,4.94690854770157,2.56806458736174,1.28831604832346,5.21353280701795,-0.244465592778379,0.906042185266732
"152",0,0,NA,0,396000,1116000,4.39177076982859,2.64724695399791,0.700079691757929,-16.5159969717764,1.05330548778319,1.30203136359746
"153",0,0,NA,0,404000,1116000,4.06464795243494,2.51636695809828,0.702982745065813,-16.4407574651766,1.57192275298838,1.52773222598061
"154",0,0,NA,0,412000,1116000,3.85681874069437,2.43659762491385,0.70630976837873,-16.3549109219471,1.66289220587559,1.66882413714613
"155",0,0,NA,0,420000,1116000,3.71061396916057,2.38200104727502,0.70954012446375,-16.2719447131525,1.54296977278531,1.76715856409179
"156",0,0,NA,0,428000,1116000,3.52518734182574,2.31451412282141,0.712307338229596,-16.2011733506765,1.63405680265938,1.89089926384229
"157",0,0,NA,0,436000,1116000,3.3803907862602,2.26314698796836,0.71426482698228,-16.1512765031146,1.71643476024191,1.98684347079578
"158",1,45.3772527067575,3.81501093778259,0.00675675675675676,444000,1116000,3.36222373799147,1.20584985215335,1.30605025226872,5.05239443717234,1.56943854908755,1.99884201785753
"159",1,283.08371904289,5.64574268090173,0.0136986301369863,452000,1116000,3.29209223927038,3.6111994704999,0.150500979402807,5.63358434106583,1.84510140156795,2.04508288107366
"160",0,0,NA,0,460000,1116000,3.49286969996346,2.3029491688186,0.714600718156595,-16.1427283057116,1.44421725018369,1.91236287149594
"161",1,167.226983671305,5.11935207322328,0.00666666666666667,468000,1116000,3.53492423255681,2.73151490502347,0.674288637345916,4.86667586241136,1.80873107196544,1.88442679153875
"162",0,0,NA,0.00657894736842105,3e+05,1108000,5.07416103957537,2.94259164958521,2.2062991628909,4.35450539795369,0.720766670358039,0.812395379411524
"163",0,0,NA,0,308000,1108000,5.86048713083462,3.32400789006113,0.699642391198256,-16.5273576834829,-1.65668180479243,0.200255230889943
"164",1,89.3225682526421,4.49225417994688,0.0136986301369863,316000,1108000,5.31360141507207,1.85510857587187,1.08679793309967,5.26136537404925,-0.237658495007481,0.632615559129372
"165",1,39.771984229529,3.6831627505958,0.00694444444444444,324000,1108000,5.22221769576095,2.29346120716322,1.31953498753632,4.96878464282318,-0.0863417005355926,0.701815484984425
"166",0,0,NA,0,332000,1108000,5.13662805203353,2.97122133871202,0.70209313342758,-16.4637807900631,0.115215080193016,0.765962525608084
